investor_id,firm,score,max_score,status,missing_fields,partner_count,portfolio_company_count,website,source_url,focus_sectors,investment_stage,geography,contact_links,updated_at
16,AI Global Investors,5,7,usable,investment_stage; portfolio_companies,2,0,https://aigi.io,https://aigi.io,Artificial Intelligence,,Global,https://twitter.com/AIGlobalInvest; https://www.linkedin.com/company/aigi/; https://aigi.io/platform,2026-05-27T11:17:18.548602
17,AI Grant,6,7,strong,partners,0,5,https://aigrant.com,https://aigrant.com,Artificial Intelligence,Seed,Global,https://aigrant.com,2026-05-27T09:34:10.149349
18,AI Magazine,5,7,usable,investment_stage; partners,0,4,https://aimagazine.com/,https://aimagazine.com/top10/top-10-ai-companies-in-mea,B2B SaaS; Artificial Intelligence,,Europe,https://aimagazine.com/author/marcus-law; https://aimagazine.com/company/mbzuai,2026-05-27T09:34:10.675374
19,AI Seed,7,7,strong,,3,5,https://aiseedfund.com,https://aiseedfund.com,Artificial Intelligence,Seed,Europe; United States,https://aiseedfund.com/contact,2026-05-27T09:34:11.359310
281,AI Superior,4,7,usable,investment_stage; partners; portfolio_companies,0,0,https://aisuperior.com/,https://aisuperior.com/ai-saas-companies,B2B SaaS; Artificial Intelligence,,Global,https://aisuperior.com/contact/; mailto:info@aisuperior.com; https://www.linkedin.com/company/ai-superior; https://x.com/aisuperior,2026-05-27T09:34:12.138659
20,AICapital,6,7,strong,portfolio_companies,2,0,https://ai.vc,https://ai.vc,Artificial Intelligence; B2B SaaS,Seed; Series B; Growth Stage,Europe; United States; Global; Southeast Asia,https://aicapital.ai/contact-us; https://twitter.com/aicapital; https://www.linkedin.com/company/aicapital/; https://ai.vc/team; https://www.linkedin.com/in/nteagarden/; https://www.linkedin.com/in/cookelizabeth/,2026-05-27T09:34:12.496040
21,Air Street Capital,7,7,strong,,1,2,https://airstreet.com,https://airstreet.com/ai-venture-capital,Artificial Intelligence; Enterprise AI,Series A; Seed; Pre-Seed; Growth Stage,India; United States; Europe; Global,https://www.vcsheet.com/fund/air-street-capital; https://airstreet.com/team; https://airstreet.com/portfolio; https://press.airstreet.com/,2026-05-27T09:53:03.580631
22,Alchemist Accelerator,6,7,strong,geography,1,3,https://www.alchemistaccelerator.com,https://www.alchemistaccelerator.com/team,B2B SaaS,Seed,,https://www.alchemistaccelerator.com/contact/; https://www.linkedin.com/in/ravibelani/; https://www.linkedin.com/in/ianbergman/; https://www.linkedin.com/in/paula-heddle-21a838/; https://www.linkedin.com/in/daniellevivo/,2026-05-28T05:23:15.324204
294,Alexander Jarvis,5,7,usable,partners; portfolio_companies,0,0,https://alexanderjarvis.com,https://alexanderjarvis.com/resources/collections/vc-investment-thesis-collection,B2B SaaS,Seed; Series A,India; United States; Europe,https://www.alexanderjarvis.com/consulting-options/; https://www.alexanderjarvis.com/education,2026-05-27T09:53:04.269625
300,AlleyCorp Robotics,5,7,usable,geography; partners,0,5,https://alleycorp.com/verticals/deep-tech/,https://blog.hardfin.com/venture-capital-firms-that-focus-on-hardware-technology,Artificial Intelligence,Pre-Seed; Seed,,https://alleycorp.com/verticals/deep-tech/,2026-05-27T09:53:10.229575
282,Allvue Systems,4,7,usable,investment_stage; partners; portfolio_companies,0,0,https://www.allvuesystems.com,https://allvuesystems.com,B2B SaaS; Artificial Intelligence,,Global,https://www.allvuesystems.com/about/leadership/,2026-05-27T09:34:12.983820
23,Alstin Capital,6,7,strong,partners,0,1,https://alstincapital.com/,,Artificial Intelligence,Series A,Europe,https://www.linkedin.com/company/alstincapital/; https://twitter.com/alstincapital,2026-05-26T07:13:53.327916
343,Alt Capital,5,7,usable,partners; contact_links,0,1,https://www.altcap.com/,https://retellai.com/blog/seed-announcement,Voice AI,Seed,India; United States; Europe,,2026-05-27T09:54:24.006824
269,Altered Capital,5,7,usable,geography; partners,0,1,https://thesaasnews.com,https://thesaasnews.com/news/series-a,B2B SaaS,Series A,,https://www.thesaasnews.com/contact-us,2026-05-27T11:17:56.715874
24,Alumni Ventures,6,7,strong,partners,0,1,https://shizune.co/investors/artificial-intelligence-vc-funds-united-states#artificial-intelligence-vc-funds-united-states-organization-alumn,https://shizune.co/investors/artificial-intelligence-vc-funds-united-states,B2B SaaS; Artificial Intelligence,Seed; Pre-Seed; Series A; Series B; Growth Stage,Global; United States,https://3925488.fs1.hubspotusercontent-na1.net/hubfs/3925488/_SoT_Mirror/01_Policies_and_Products/About_AV_OriginStory.pdf; https://luma.com/alumniventuresevents; https://av.vc/ai-tools-syndicate#easyvest; https://www.av.vc/cookie-policy; https://www.av.vc/funds/aifirst#easyvest; https://av.vc/funds/aifirst#easyvest,2026-05-27T09:54:31.531639
25,Amadeus Capital Partners,7,7,strong,,4,4,https://www.amadeuscapital.com/,,Artificial Intelligence,Series A; Series B; Growth Stage,Europe,https://www.amadeuscapital.com/contact/,2026-05-27T06:01:49.559963
26,Andreessen Horowitz,6,7,strong,portfolio_companies,1,0,https://signal.nfx.com/firms/andreessen-horowitz,https://pitchdeckcreators.com/blog-posts/best-vc-firms-in-usa,Artificial Intelligence; B2B SaaS,Series B; Series A; Seed,United States,https://signal.nfx.com/firms/andreessen-horowitz; https://signal.nfx.com/investors/marc-andreessen,2026-05-27T09:54:19.324749
338,Andreessen Horowitz (a16z),5,7,usable,partners; portfolio_companies,0,0,https://a16z.com/about/,https://privateequitylist.com/resources/top-venture-capital-firms,Artificial Intelligence; B2B SaaS,Seed; Series A,Global,https://a16z.com/about/,2026-05-27T09:54:20.160801
295,Angel Match,4,7,usable,investment_stage; partners; portfolio_companies,0,0,https://angelmatch.io,https://angelmatch.io/investors/by-market/developer-tools,Artificial Intelligence,,India; United States,https://angelmatch.io/pricing,2026-05-27T09:53:04.783388
296,Antler,5,7,usable,partners; portfolio_companies,0,0,https://antler.co/location/india,https://antler.co/location/india,Artificial Intelligence,Pre-Seed,India; Global,https://antler.co/apply; https://www.antler.co/blog/introducing-antlers-ai-residency; https://luma.com/user/antlerindia,2026-05-27T09:53:04.997226
27,Antler Singapore,6,7,strong,partners,0,1,https://antler.co,https://antler.co/team,Voice AI; Artificial Intelligence; B2B SaaS,Pre-Seed,Global; Australia; Brazil; Canada; Continental Europe; Denmark; Finland; India; Indonesia; Japan; Kenya; Korea; Malaysia; MENAP; Nigeria; Norway; Singapore; Sweden; United Kingdom; United States,https://www.antler.co/location/australia; https://www.antler.co/location/brazil; https://www.antler.co/location/canada; https://www.antler.co/continental-europe; https://www.antler.co/location/denmark; https://www.antler.co/location/finland; https://www.antler.co/location/india; https://www.antler.co/location/indonesia; https://www.antler.co/location/japan; https://www.antler.co/location/kenya; https://www.antler.co/location/korea; https://www.antler.co/location/malaysia; https://www.antler.co/location/menap; https://www.antler.co/location/nigeria; https://www.antler.co/location/norway; https://www.antler.co/location/singapore; https://www.antler.co/location/sweden; https://www.antler.co/location/uk,2026-05-28T05:32:27.364237
228,Arzan Venture Capital,7,7,strong,,1,2,https://arzanvc.com/,https://atarapartners.com/post/the-rise-of-middle-eastern-vcs,B2B SaaS,Seed,Middle East,https://arzanvc.com/,2026-05-27T09:34:14.108416
28,Ascension,5,7,usable,partners; contact_links,0,1,https://shizune.co/investors/saas-vc-funds-united-kingdom#saas-vc-funds-united-kingdom-organization-ascension-ventures-limited,,B2B SaaS,Series A; Series B; Seed; Growth Stage,Europe,,2026-05-27T06:01:49.559963
29,AssemblyAI,6,7,strong,partners,0,4,https://assemblyai.com,https://assemblyai.com/blog/voice-ai-in-2026-series-1,Voice AI; Artificial Intelligence,Series A,Global; United States,https://www.linkedin.com/company/assemblyai/; https://twitter.com/assemblyai; https://www.assemblyai.com/legal/privacy-policy,2026-05-27T09:53:05.649278
229,Attack Capital,5,7,usable,partners; portfolio_companies,0,0,https://attack.capital,https://attack.capital/investment-thesis/invest-in-voice-ai,B2B SaaS; Artificial Intelligence,Seed,Global,https://attack.capital/about,2026-05-27T09:34:14.528059
30,Automate Show,4,7,usable,focus_sectors; partners; portfolio_companies,0,0,https://www.automateshow.com/,https://automateshow.com/blog/what-to-consider-when-investing-in-automation-a-guide-for-decision-makers,,Growth Stage,Global,https://www.automateshow.com/; https://www.automateshow.com/blog; https://www.automateshow.com/contact,2026-05-27T09:34:14.704862
31,AWS Gründerfonds,7,7,strong,,10,3,http://www.gruenderfonds.at,http://www.gruenderfonds.at/team,B2B SaaS,Seed; Growth Stage,Global,http://www.gruenderfonds.at/team; http://www.gruenderfonds.at/portfolio; http://www.gruenderfonds.at/pitch,2026-05-27T11:15:38.501276
32,B Capital,7,7,strong,,1,1,https://bcapitalgroup.com/,,Artificial Intelligence,Series B,Global,https://www.linkedin.com/company/b-capital-group/; https://twitter.com/bcapitalgroup,2026-05-26T07:13:56.612838
33,b2venture,6,7,strong,partners,0,7,https://b2venture.vc,https://b2venture.vc,Artificial Intelligence; B2B SaaS,Pre-Seed; Seed,Europe,https://b2venture.vc/; https://b2venture.vc/about-old; https://deepl.com/; https://www.getnelly.de/; https://www.edurino.com/; https://www.sumup.com/; https://ledgy.com/; https://procuros.io/; https://b2venture.vc/privacy-policy,2026-05-27T09:53:06.440695
34,Bain Capital Private Equity,6,7,strong,partners,0,4,https://baincapitalprivateequity.com,https://baincapitalprivateequity.com/portfolio,B2B SaaS,Seed,Global,https://www.baincapitalprivateequity.com/contact; https://baincapitalprivateequity.com/contact,2026-05-27T09:53:07.222917
297,Bain Capital Ventures,6,7,strong,partners,0,3,https://baincapitalventures.com,https://baincapitalventures.com/domain/infra,Artificial Intelligence; B2B SaaS,Seed; Series A; Growth Stage,Global,https://baincapitalventures.com/about,2026-05-27T09:53:07.439193
35,Balderton,7,7,strong,,1,1,https://www.balderton.com/,https://businessinsider.com/voice-ai-vc-startups-tech-innovation-2025-1,B2B SaaS; Voice AI,Series A; Seed,Europe; Global,https://www.linkedin.com/company/balderton-capital/; https://twitter.com/balderton,2026-05-27T09:53:11.888472
36,Banyan Ventures,7,7,strong,,1,9,https://banyan-vc.com,https://banyan-vc.com/insights/top-ai-pre-seed-investors,Artificial Intelligence,Pre-Seed; Seed; Series B,United States,https://www.linkedin.com/in/samawrabi/; mailto:sam@banyan-vc.com,2026-05-27T09:53:07.922707
37,Banyan Ventures – Sam Awrabi,4,7,usable,partners; portfolio_companies; contact_links,0,0,https://www.playground.vc/,https://banyan-vc.com/insights/top-ai-pre-seed-investors,Artificial Intelligence,Seed; Pre-Seed,Global,,2026-05-26T07:13:59.290531
38,Basis Set Ventures,6,7,strong,partners,0,1,https://www.vcsheet.com/fund/basis-set-ventures,https://vcsheet.com/sheet/ai-funds,Artificial Intelligence,Series B; Growth Stage; Series A; Seed,Global,https://www.vcsheet.com/fund/basis-set-ventures; https://www.linkedin.com/in/matvogels/; https://www.vcsheet.com/curator/mat-vogels,2026-05-26T07:13:59.449856
298,Beacon VC,5,7,usable,partners; contact_links,0,4,https://beaconvc.fund,https://beaconvc.fund/news/voice-agent-pioneer-wiz-ai-raises-tens-of-millions-in-series-b-to-scale-enterprise-agi-solution-globally,Artificial Intelligence; B2B SaaS,Seed; Series A,India; United States,,2026-05-27T09:53:09.004394
339,Beacon Venture Capital,5,7,usable,website; contact_links,1,1,,https://prnewswire.com/apac/news-releases/voice-agent-pioneer-wizai-raises-tens-of-millions-in-series-b-to-scale-enterprise-agi-solution-globally-302604934.html,Artificial Intelligence; Voice AI,Series B,Southeast Asia,,2026-05-27T09:54:20.398963
299,Benchmark IT,4,7,usable,investment_stage; partners; portfolio_companies,0,0,https://bmarkits.com,https://benchmarkit.ai/metrics-that-measure-up-podcasts/micro-private-equity---new-path-to-b2b-saas-liquidity-%2B-growth,B2B SaaS,,United States,mailto:info@benchmarkit.ai; https://www.linkedin.com/company/benchmarkitai/; https://www.linkedin.com/in/jbemis; mailto:jbemis@bmarkits.com; https://app.greatrecruiters.com/companies/benchmarkit/recruiters/195-john-bemis; https://www.linkedin.com/in/mariahwagner/; mailto:mwagner@bmarkits.com; https://app.greatrecruiters.com/companies/benchmarkit/recruiters/198-mariah-wagner; https://www.linkedin.com/in/james-shen-31b8521; mailto:jshen@bmarkits.com; https://app.greatrecruiters.com/companies/benchmarkit/recruiters/202-james-shen,2026-05-27T11:23:01.538373
39,Bessemer Venture Partners,7,7,strong,,5,19,https://bvp.com,https://bvp.com/atlas/the-rise-of-saas-in-india,Artificial Intelligence; B2B SaaS,Growth Stage; Seed; Series A,Global; India; United States; Europe,https://www.bvp.com/portfolio; https://jobs.bvp.com/jobs; https://www.bvp.com/companies#portfolio; https://bvp.com/,2026-05-27T09:53:12.785460
40,Beta Boom,6,7,strong,partners,0,26,https://betaboom.com,https://betaboom.com/vertical-ai-vc-investor,Artificial Intelligence; B2B SaaS,Seed; Pre-Seed,United States; Europe,https://www.betaboom.com/contact; https://betaboom.com/portfolio; https://betaboom.com/contact; https://betaboom.com/apply,2026-05-27T09:53:09.983106
41,Black Flag,6,7,strong,partners,0,1,https://www.blackflag.vc/,https://vcsheet.com/sheet/funds-investing-in-southeast-asia,Artificial Intelligence,Growth Stage; Series A; Seed,Global; United States,https://www.blackflag.vc/,2026-05-27T09:54:47.607673
42,Bluebird Partners,6,7,strong,partners,0,2,https://bluebird-partners.com,https://bluebird-partners.com/resources/raising-capital-for-us-saas-venture,B2B SaaS,Seed; Series A,United States,https://bluebird-partners.com/resources/manufacturing-bookkeeping-made-easier-6-pro-tips-from-our-accounting-services-team/; https://bluebird-partners.com/resources/raising-capital-for-us-saas-venture/; https://bluebird-partners.com/resources/how-a-fractional-cfo-can-transform-your-business-services-and-professional-services-firm/,2026-05-27T09:34:19.116928
43,Bonfire Ventures,7,7,strong,,2,3,https://bonfirevc.com/,https://bonfirevc.com/news/early-stage-venture-firms,B2B SaaS,Seed,India; United States; Europe,https://www.bonfirevc.com/team; https://www.bonfirevc.com/companies; https://www.bonfirevc.com/investment-criteria; https://yikdukb5nck.typeform.com/to/Tze30ymM; https://bonfirevc.com/team; https://bonfirevc.com/companies; https://bonfirevc.com/our-approach; https://bonfirevc.com/news; https://jobs.bonfirevc.com/jobs; https://bonfirevc.com/investment-criteria; https://www.fundpanel.io/,2026-05-27T09:53:11.633344
44,Bowery Capital,6,7,strong,partners,0,11,https://bowerycap.com,https://bowerycap.com/portfolio,B2B SaaS,Series A; Seed; Growth Stage,United States,https://bowerycap.com/portfolio,2026-05-27T09:34:20.444006
45,Bpifrance,5,7,usable,partners; portfolio_companies,0,0,https://shizune.co/investors/saas-vc-funds-europe#saas-vc-funds-europe-organization-bpifrance,https://shizune.co/investors/saas-vc-funds-europe,B2B SaaS,Series A; Seed,Europe,https://shizune.co/investors/saas-vc-funds-europe#saas-vc-funds-europe-organization-bpifrance,2026-05-27T09:54:33.583857
46,BrainStorm Inc.,6,7,strong,partners,0,1,https://www.brainstorminc.com,https://brainstorminc.com/use-cases/saas-portfolios,B2B SaaS,Growth Stage; Seed,United States,https://www.brainstorminc.com/privacypolicy; https://www.brainstorminc.com/contact; https://www.brainstorminc.com/team; https://www.brainstorminc.com/use-cases/saas-portfolios; https://www.brainstorminc.com/case-study-fishbowl,2026-05-27T09:34:21.450933
48,British Business Bank,3,7,thin,focus_sectors; investment_stage; partners; portfolio_companies,0,0,https://www.british-business-bank.co.uk,https://www.british-business-bank.co.uk/team,,,Europe,https://www.linkedin.com/company/british-business-bank/; https://twitter.com/BritishBBank; https://www.british-business-bank.co.uk/team; https://www.british-business-bank.co.uk/people; https://www.british-business-bank.co.uk/partners; https://www.british-business-bank.co.uk/leadership; https://www.british-business-bank.co.uk/cookie-policy/,2026-05-28T05:27:03.015788
283,BV Investment Partners,5,7,usable,investment_stage; partners,0,22,https://bvlp.com,https://bvlp.com/portfolio,B2B SaaS,,India,https://bvlp.com/portfolio,2026-05-27T09:34:22.336820
231,BVL Partners,5,7,usable,investment_stage; partners,0,22,https://bvlp.com,https://bvlp.com/portfolio,B2B SaaS,,India,https://www.bvlp.com/portfolio,2026-05-26T08:04:45.240944
49,BVLP,5,7,usable,focus_sectors; investment_stage,5,23,https://bvlp.com,https://bvlp.com/portfolio,,,Global,https://www.bvlp.com/team/; https://www.bvlp.com/oab-team/; https://bvlp.com/team; https://bvlp.com/oab-team/,2026-05-27T11:17:41.033899
50,BVP,6,7,strong,partners,0,3,https://www.bvp.com/atlas,https://bvp.com/atlas/part-i-the-future-of-ai-is-vertical,Artificial Intelligence; Enterprise AI; B2B SaaS,Seed; Series A; Growth Stage,Global; United States,https://www.bvp.com/atlas/part-i-the-future-of-ai-is-vertical; https://www.bvp.com/atlas/ten-lessons-from-a-decade-of-vertical-software-investing; https://www.bvp.com/atlas/state-of-the-cloud-2024#Trend-4-Vertical-AI-shows-potential-to-dwarf-legacy-SaaS-with-new-applications-and-business-models; https://www.bvp.com/atlas/state-of-the-cloud-2023#Four-mission-critical-steps-to-AI-adoption-for-SaaS-leaders; https://www.bvp.com/atlas/how-intercom-navigated-the-ai-paradigm-shift; https://www.bvp.com/atlas/abridge-canva-and-zapier-share-insights-on-ai-innovation-to-saas-leaders; https://www.bvp.com/atlas/contact-us,2026-05-27T08:32:32.515259
51,BVP (Bharat Innovation Fund),5,7,usable,partners; portfolio_companies,0,0,https://www.bvp.com/,,Voice AI; Artificial Intelligence,Series A; Seed,Global; India,https://www.linkedin.com/company/bvp/; https://twitter.com/bvp,2026-05-26T07:14:07.270828
52,BVP (formerly Bessemer Venture Partners),6,7,strong,partners,0,3,https://www.bvp.com/atlas,https://bvp.com/atlas/part-i-the-future-of-ai-is-vertical,Artificial Intelligence; Enterprise AI,Series A; Seed; Growth Stage,United States,https://www.bvp.com/atlas/contact-us,2026-05-27T06:01:49.559963
301,Capboard,5,7,usable,partners; portfolio_companies,0,0,https://www.capboard.io,https://capboard.io/en/investor/saas-ventures,B2B SaaS,Seed; Series A,Global; United States; Canada; Spain,https://www.capboard.io/en/; https://www.linkedin.com/in/alex-bisbe-88571718/,2026-05-27T09:53:13.503000
53,Capchase,6,7,strong,partners,0,1,https://capchase.com/,https://capchase.com/blog/top-b2b-financing-companies-roadmap,B2B SaaS,Series A,United States,https://capchase.com/demo; https://app.capchase.com/register,2026-05-27T09:53:13.723242
302,Carta,5,7,usable,partners; portfolio_companies,0,0,https://carta.com,https://carta.com/learn/private-funds/management/portfolio-management/investment-thesis,B2B SaaS,Seed; Series A,Europe,https://carta.com/learn/private-funds/management/portfolio-management/investment-thesis,2026-05-27T09:53:13.926739
303,Cathay Capital,4,7,usable,investment_stage; partners; portfolio_companies,0,0,https://cathaycapital.com,https://cathaycapital.com/cathay-innovation-closes-1b-vertical-ai-fund-to-power-europes-industry-transformation,Artificial Intelligence,,Global,https://www.linkedin.com/company/cathay-capital; https://twitter.com/CathayCapital; mailto:contact@cathay.fr; mailto:contactcn@cathay.fr,2026-05-27T09:53:14.279392
304,CB Insights,3,7,thin,investment_stage; geography; partners; portfolio_companies,0,0,https://www.cbinsights.com,https://cbinsights.com/research/voice-ai-consolidation-acquisitions,Artificial Intelligence,,,mailto:info@cbinsights.com; https://www.cbinsights.com/team; https://www.cbinsights.com/what-we-offer/collections/; https://www.cbinsights.com/what-we-offer/platform/stories/; https://www.cbinsights.com/resources/case-studies/itau-case-study/; https://view.cbinsights.com/,2026-05-28T05:27:39.267120
54,Center for Security and Emerging Technology (CSET),5,7,usable,partners; portfolio_companies,0,0,https://cset.georgetown.edu/,https://cset.georgetown.edu/wp-content/uploads/CSET-Corporate-Investors-in-Top-U.S.-AI-Startups.pdf,Artificial Intelligence,Series A; Seed,United States,https://cset.georgetown.edu/team; https://cset.georgetown.edu/staff/aditi-kumar/; https://cset.georgetown.edu/staff/adrian-thinnyun/; https://cset.georgetown.edu/staff/ali-crawford/; https://cset.georgetown.edu/staff/andrea-guerrero/,2026-05-27T08:32:38.747182
279,CNBC,3,7,thin,focus_sectors; investment_stage; partners; portfolio_companies,0,0,https://www.cnbc.com/,https://cnbc.com/people,,,Global; India; United States,https://www.cnbc.com/about/#MainContent; https://www.cnbc.com/investingclub/subscribe?__source=investingclub|globalnav|join&tpcc=investingclub|globalnav|join; https://www.cnbc.com/application/pro?__source=pro|globalnav|join&tpcc=pro|globalnav|join; https://www.cnbc.com/live-tv/,2026-05-27T11:37:59.156772
372,Cocoon Capital,6,7,strong,partners,0,1,https://www.linkedin.com/company/cocoon-capital/posts/?feedView=all,https://wowsglobal.com/resources/blogs-insights/who-s-funding-the-future-10-visionary-vcs-driving-ai-innovation,Artificial Intelligence,Seed,Singapore; Vietnam; Philippines,https://www.linkedin.com/company/cocoon-capital/posts/?feedView=all,2026-05-27T09:54:49.692429
